motherboardId,partId,socket,formFactor,chipset,memoryMax,memoryType,memorySlot,color,pcieSixteenSlot,pcieEightSlot,pcieFourSlot,pcieOneSlot,pcieSlot,sataSlot,mTwoSlot,onboardEthernet,onboardVideo,usbTwoHeader,usbTwoHeaderSinglePort,usbThreeTwoGenOneHeader,usbThreeTwoGenTwoHeader,usbThreeTwoGenTwoByTwoHeader,wirelessNetworking,raidSupport,backConnectors,createdAt,updatedAt
1,122,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Yellow,3,0,0,0,0,4,4,1 x 5 Gb/s (Intel Killer E5000B),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
2,123,LGA1851,EATX,Intel Z890,192,DDR5,4,Black,2,0,1,0,0,4,5,1 x 10 Gb/s (Marvell AQtion),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
3,124,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
4,125,LGA1851,MATX,Intel Z890,256,DDR5,4,Silver / Black,2,0,0,0,0,4,0,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 20:35,11/25/2024 20:35
5,126,LGA1851,ITX,Intel Z890,128,DDR5,2,Black,1,0,0,0,0,2,3,1 x 5 Gb/s (Realtek 8126),Depends on CPU,1,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
6,127,LGA1851,ATX,Intel Z890,192,DDR5,4,Black,2,0,0,0,0,4,7,1 x 5 Gb/s (Realtek),Depends on CPU,3,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
7,128,LGA1851,ATX,Intel Z890,192,DDR5,4,Black,2,0,0,1,0,4,6,"1 x 5 Gb/s (Realtek)','1 x 2.5 Gb/s (Intel)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
8,129,LGA1851,ATX,Intel Z890,192,DDR5,4,White,2,0,0,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
9,130,LGA1851,ATX,Intel Z890,192,DDR5,4,Black / Gold,3,0,0,0,0,4,5,"1 x 10 Gb/s (Marvell AQtion)','1 x 2.5 Gb/s (Intel)",Depends on CPU,1,0,1,1,1,Wi-Fi 7 + 802.11ad,0,0,11/25/2024 20:35,11/25/2024 20:35
10,131,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,3,0,0,1,0,4,4,1 x 5 Gb/s (Intel Killer E5000B),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
11,132,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,1,0,2,1,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,None,0,0,11/25/2024 20:35,11/25/2024 20:35
12,133,LGA1851,ITX,Intel Z890,128,DDR5,2,Black,1,0,0,0,0,2,1,1 x 2.5 Gb/s (Realtek),Depends on CPU,1,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
13,134,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,1,0,2,1,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 20:35,11/25/2024 20:35
14,135,LGA1851,MATX,Intel Z890,192,DDR5,4,Black / Silver,4,0,0,0,0,6,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
15,136,LGA1851,ATX,Intel Z890,192,DDR5,4,Black,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
16,137,LGA1851,MATX,Intel Z890,256,DDR5,4,White / Silver,2,0,0,0,0,4,0,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
17,138,LGA1851,ATX,Intel Z890,96,DDR5,2,White,2,0,2,0,0,4,6,1 x 5 Gb/s (Realtek),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
18,139,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,3,0,0,1,0,4,4,1 x 5 Gb/s (Realtek 8126),Depends on CPU,2,0,2,2,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
19,140,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,3,0,0,0,0,4,5,"1 x 5 Gb/s (Intel Killer E5000B)','1 x 2.5 Gb/s (Intel I226-V)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
20,141,LGA1851,ATX,Intel Z890,192,DDR5,4,Black / Silver,4,0,0,0,0,4,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
21,142,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Gold,3,0,0,0,0,4,5,"1 x 10 Gb/s (Marvell AQtion AQC113CS)','1 x 5 Gb/s (Intel Killer E5000B)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
22,143,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,3,0,0,0,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
23,144,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Gray,4,0,0,0,0,4,0,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 20:35,11/25/2024 20:35
24,145,LGA1851,MATX,Intel Z890,256,DDR5,4,Black / Silver,1,0,0,0,0,4,3,1 x 2.5 Gb/s (Killer E3100G),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 20:35,11/25/2024 20:35
25,146,LGA1851,ATX,Intel Z890,192,DDR5,4,Black,2,0,0,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
26,147,LGA1851,ATX,Intel Z890,192,DDR5,4,White,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
27,148,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / White,2,0,0,1,0,4,5,1 x 5 Gb/s (Intel Killer E5000B),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
28,149,LGA1851,EATX,Intel Z890,256,DDR5,4,White,3,0,0,0,0,4,6,"1 x 10 Gb/s (Marvell AQtion AQC113)','1 x 5 Gb/s (Realtek RTL8126)",Depends on CPU,2,0,2,2,2,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
29,150,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,3,0,0,0,0,4,4,1 x 10 Gb/s (Marvell AQtion AQC113C),Depends on CPU,2,0,0,0,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
30,151,LGA1851,ATX,Intel Z890,256,DDR5,4,White / Silver,3,0,0,0,0,4,2,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
31,152,LGA1851,ATX,Intel Z890,256,DDR5,4,White / Silver,1,0,2,1,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 20:35,11/25/2024 20:35
32,153,LGA1851,ATX,Intel Z890,256,DDR5,4,White / Silver,3,0,0,0,0,4,3,1 x 5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
33,154,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,3,0,0,0,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
34,155,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,2,0,0,0,0,4,6,"1 x 5 Gb/s (Realtek 8126)','1 x 2.5 Gb/s (Killer E3100G)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
35,156,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,4,0,0,0,0,4,3,1 x 2.5 Gb/s (Realtek 8125D),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
36,157,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / White,3,0,0,0,0,4,3,2 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
37,158,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Silver,3,0,0,0,0,4,4,1 x 5 Gb/s (Realtek 8126),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
38,159,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,3,0,0,0,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
39,160,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver,2,0,1,0,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
40,161,LGA1851,ATX,Intel Z890,192,DDR5,4,White,4,0,0,0,0,4,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,1,Wi-Fi 6,0,0,11/25/2024 20:35,11/25/2024 20:35
41,162,LGA1851,ITX,Intel Z890,128,DDR5,2,White,1,0,0,0,0,2,4,1 x 5 Gb/s (Intel Killer E5000B),Depends on CPU,1,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
42,163,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,1,0,2,1,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,None,0,0,11/25/2024 20:35,11/25/2024 20:35
43,164,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,2,0,1,0,0,4,4,1 x 2.5 Gb/s (Killer E3100G),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
44,165,LGA1851,ATX,Intel Z890,256,DDR5,4,Black / Gold,2,0,0,0,0,4,6,"1 x 2.5 Gb/s (Realtek Dragon RTL8125BG)','1 x 5 Gb/s (Realtek 8126)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
45,166,LGA1851,ATX,Intel Z890,128,DDR5,2,Black / Gold,2,0,1,0,0,4,6,1 x 5 Gb/s (Realtek 8126),Depends on CPU,1,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
46,167,LGA1851,ATX,Intel Z890,256,DDR5,4,White / Silver,3,0,0,0,0,4,4,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
47,168,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,1,0,2,1,0,4,4,1 x 2.5 Gb/s (Realtek Dragon RTL8125BG),Depends on CPU,2,0,2,2,1,Wi-Fi 6E,0,0,11/25/2024 20:35,11/25/2024 20:35
48,169,LGA1851,ATX,Intel Z890,256,DDR5,4,Silver / Black,2,0,0,0,0,4,6,"1 x 5 Gb/s (Realtek 8126)','1 x 2.5 Gb/s (Realtek Dragon RTL8125BG)",Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
49,170,LGA1851,ATX,Intel Z890,128,DDR5,2,Black,3,0,0,1,0,6,6,1 x 5 Gb/s (Intel Killer E5000B),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
50,171,LGA1851,ATX,Intel Z890,256,DDR5,4,Black,2,0,0,1,0,4,5,1 x 2.5 Gb/s (Killer E3100G),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 20:35,11/25/2024 20:35
51,172,LGA1700,ATX,Intel Z790,192,DDR5,4,Black / Silver,2,0,0,1,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
