partId,name,type,image,price,manufacturer,partNum,createdAt,updatedAt
1,Intel Core Ultra 9 285K 3.7 GHz 24-Core Processor (BX80768285K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/d658fbb8695607dc4964431e6b6b9373.256p.jpg,629.99,Intel,BX80768285K,11/23/2024 21:46,11/23/2024 21:46
2,Intel Core Ultra 7 265K 3.9 GHz 20-Core Processor (BX80768265K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/19fb12d5828d3ae540e91eefa4160b79.256p.jpg,384.99,Intel,BX80768265K,11/23/2024 21:46,11/23/2024 21:46
3,Intel Core Ultra 5 245K 4.2 GHz 14-Core Processor (BX80768245K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/1e9e70d03e7edd0274691d5f49a34a50.256p.jpg,299,Intel,BX80768245K,11/23/2024 21:46,11/23/2024 21:46
4,Intel Core Ultra 7 265KF 3.9 GHz 20-Core Processor (BX80768265KF),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/fcf1376b4011b81307f2eb83fb68d582.256p.jpg,369.99,Intel,BX80768265KF,11/23/2024 21:46,11/23/2024 21:46
5,Intel Core Ultra 5 245KF 4.2 GHz 14-Core Processor (BX80768245KF),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/86f90b80222ce0831fa4c548b8af3df2.256p.jpg,279,Intel,BX80768245KF,11/23/2024 21:46,11/23/2024 21:46
6,Intel Core i9-14900K 3.2 GHz 24-Core Processor (BX8071514900K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,424.99,Intel,BX8071514900K,11/23/2024 21:46,11/23/2024 21:46
7,Intel Core i9-12900K 3.2 GHz 16-Core Processor (BX8071512900K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/b9d3c68bbf713cdd1211f3792040ce95.256p.jpg,254.99,Intel,BX8071512900K,11/23/2024 21:46,11/23/2024 21:46
8,Intel Core i9-14900KS 3.2 GHz 24-Core Processor (BX8071514900KS),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.256p.jpg,629.99,Intel,BX8071514900KS,11/23/2024 21:46,11/23/2024 21:46
9,Intel Core i9-14900KF 3.2 GHz 24-Core Processor (BX8071514900KF),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg,399.99,Intel,BX8071514900KF,11/23/2024 21:46,11/23/2024 21:46
10,Intel Core i9-13900K 3 GHz 24-Core Processor (BX8071513900K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/9ec7bf0f10e60c175e9b64c51bab7240.256p.jpg,399.61,Intel,BX8071513900K,11/23/2024 21:46,11/23/2024 21:46
11,Intel Core i9-12900KF 3.2 GHz 16-Core Processor (BX8071512900KF),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/c3d3a6843e0c0a5d98155e9fa68c092c.256p.jpg,234.99,Intel,BX8071512900KF,11/23/2024 21:46,11/23/2024 21:46
12,Intel Core i9-13900KF 3 GHz 24-Core Processor (BX8071513900KF),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/ef583b00501fbe1d9df909c3ffe2b413.256p.jpg,366.99,Intel,BX8071513900KF,11/23/2024 21:46,11/23/2024 21:46
13,Intel Core i9-12900KS 3.4 GHz 16-Core Processor (BX8071512900KS),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/b3fd483f4dc6bc63faff298cdffb41d5.256p.jpg,314.99,Intel,BX8071512900KS,11/23/2024 21:46,11/23/2024 21:46
14,Intel Core i9-13900KS 3 GHz 24-Core Processor (BX8071513900KS),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/4129af6f0163dfd9dad75e57aae5a99d.256p.jpg,488,Intel,BX8071513900KS,11/23/2024 21:46,11/23/2024 21:46
15,Intel Core i9-14900F 2 GHz 24-Core Processor (BX8071514900F),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/9ad5851cc322799cc6c3352f6a899247.256p.jpg,521,Intel,BX8071514900F,11/23/2024 21:46,11/23/2024 21:46
16,Intel Core i9-14900 2 GHz 24-Core Processor (BX8071514900),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/6bef271d59cd2a9b4f13fe95c18e2892.256p.jpg,578.99,Intel,BX8071514900,11/23/2024 21:46,11/23/2024 21:46
17,Intel Core i9-13900F 2 GHz 24-Core Processor (BX8071513900F),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/b8fab5fbdca5b7f19d806800e9d07b16.256p.jpg,461.26,Intel,BX8071513900F,11/23/2024 21:46,11/23/2024 21:46
18,Intel Core i9-13900 2 GHz 24-Core Processor (BX8071513900),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/6677778b05f29fbfd12dd49c16f2069f.256p.jpg,542.74,Intel,BX8071513900,11/23/2024 21:46,11/23/2024 21:46
19,Intel Core i9-12900F 2.4 GHz 16-Core Processor (BX8071512900F),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/c709a7db2862582c1870c1b399fd7499.256p.jpg,360.93,Intel,BX8071512900F,11/23/2024 21:46,11/23/2024 21:46
20,Intel Core i9-12900 2.4 GHz 16-Core Processor (BX8071512900),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/b61a0cfda1c9f56fda7c2f91dacd9046.256p.jpg,411.93,Intel,BX8071512900,11/23/2024 21:46,11/23/2024 21:46
21,Intel Core i7-14700K 3.4 GHz 20-Core Processor (BX8071514700K),CPU,https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg,339.99,Intel,BX8071514700K,11/23/2024 21:46,11/23/2024 21:46
