memorySpeedId,motherboardId,memorySpeed,createdAt,updatedAt
1,1,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
2,1,DDR5-5000,11/25/2024 20:35,11/25/2024 20:35
3,1,DDR5-5200,11/25/2024 20:35,11/25/2024 20:35
4,1,DDR5-5400,11/25/2024 20:35,11/25/2024 20:35
5,1,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
6,1,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
7,1,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
8,1,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
9,1,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
10,1,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
11,1,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
12,1,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
13,1,DDR5-7200,11/25/2024 20:35,11/25/2024 20:35
14,1,DDR5-7400,11/25/2024 20:35,11/25/2024 20:35
15,1,DDR5-7600,11/25/2024 20:35,11/25/2024 20:35
16,1,DDR5-7800,11/25/2024 20:35,11/25/2024 20:35
17,1,DDR5-8000,11/25/2024 20:35,11/25/2024 20:35
18,1,DDR5-8200,11/25/2024 20:35,11/25/2024 20:35
19,1,DDR5-8400,11/25/2024 20:35,11/25/2024 20:35
20,1,DDR5-8600,11/25/2024 20:35,11/25/2024 20:35
21,1,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
22,1,DDR5-9000,11/25/2024 20:35,11/25/2024 20:35
23,1,DDR5-9200,11/25/2024 20:35,11/25/2024 20:35
24,2,DDR5-4800,11/25/2024 20:35,11/25/2024 20:35
25,2,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
26,2,DDR5-8800,11/25/2024 20:35,11/25/2024 20:35
27,3,DDR5-5600,11/25/2024 20:35,11/25/2024 20:35
28,3,DDR5-5800,11/25/2024 20:35,11/25/2024 20:35
29,3,DDR5-6000,11/25/2024 20:35,11/25/2024 20:35
30,3,DDR5-6200,11/25/2024 20:35,11/25/2024 20:35
31,3,DDR5-6400,11/25/2024 20:35,11/25/2024 20:35
32,3,DDR5-6600,11/25/2024 20:35,11/25/2024 20:35
33,3,DDR5-6800,11/25/2024 20:35,11/25/2024 20:35
34,3,DDR5-7000,11/25/2024 20:35,11/25/2024 20:35
